       1,   8,       128,     0.009, MegaMultiply-Adds Per Second
     512,   8,     65536,     0.941, MegaMultiply-Adds Per Second
    1024,   8,    131072,     1.388, MegaMultiply-Adds Per Second
    2048,   8,    262144,     1.724, MegaMultiply-Adds Per Second
    4096,   8,    524288,     2.281, MegaMultiply-Adds Per Second
    8192,   8,   1048576,     2.422, MegaMultiply-Adds Per Second
       1,  32,        32,     0.014, MegaMultiply-Adds Per Second
     512,  32,     16384,     1.313, MegaMultiply-Adds Per Second
    1024,  32,     32768,     2.248, MegaMultiply-Adds Per Second
    2048,  32,     65536,     2.967, MegaMultiply-Adds Per Second
    4096,  32,    131072,     4.952, MegaMultiply-Adds Per Second
    8192,  32,    262144,     5.924, MegaMultiply-Adds Per Second
       1,  64,        16,     0.011, MegaMultiply-Adds Per Second
     512,  64,      8192,     1.036, MegaMultiply-Adds Per Second
    1024,  64,     16384,     2.181, MegaMultiply-Adds Per Second
    2048,  64,     32768,     4.649, MegaMultiply-Adds Per Second
    4096,  64,     65536,     5.529, MegaMultiply-Adds Per Second
    8192,  64,    131072,     8.110, MegaMultiply-Adds Per Second
       1, 128,         8,     0.010, MegaMultiply-Adds Per Second
     512, 128,      4096,     1.140, MegaMultiply-Adds Per Second
    1024, 128,      8192,     2.134, MegaMultiply-Adds Per Second
    2048, 128,     16384,     4.518, MegaMultiply-Adds Per Second
    4096, 128,     32768,     6.347, MegaMultiply-Adds Per Second
    8192, 128,     65536,     7.336, MegaMultiply-Adds Per Second
       1, 256,         4,     0.017, MegaMultiply-Adds Per Second
     512, 256,      2048,     1.413, MegaMultiply-Adds Per Second
    1024, 256,      4096,     2.124, MegaMultiply-Adds Per Second
    2048, 256,      8192,     3.549, MegaMultiply-Adds Per Second
    4096, 256,     16384,     6.323, MegaMultiply-Adds Per Second
    8192, 256,     32768,     7.836, MegaMultiply-Adds Per Second
       1, 512,         2,     0.011, MegaMultiply-Adds Per Second
     512, 512,      1024,     1.127, MegaMultiply-Adds Per Second
    1024, 512,      2048,     2.072, MegaMultiply-Adds Per Second
    2048, 512,      4096,     3.314, MegaMultiply-Adds Per Second
    4096, 512,      8192,     4.999, MegaMultiply-Adds Per Second
    8192, 512,     16384,     8.598, MegaMultiply-Adds Per Second
