       1,  32,        32,     0.013, MegaMultiply-Reductions Per Second 	523776.000
     512,  32,     16384,     0.023, MegaMultiply-Reductions Per Second 	137438076928.000
    1024,  32,     32768,     0.252, MegaMultiply-Reductions Per Second 	549754961920.000
    2048,  32,     65536,     1.667, MegaMultiply-Reductions Per Second 	2199022469120.000
    4096,  32,    131072,     3.536, MegaMultiply-Reductions Per Second 	8796092497920.000
    8192,  32,    262144,     3.962, MegaMultiply-Reductions Per Second 	35184887988224.000
       1, 128,         8,     0.018, MegaMultiply-Reductions Per Second 	523776.000
     512, 128,      4096,     1.205, MegaMultiply-Reductions Per Second 	137438928896.000
    1024, 128,      8192,     1.472, MegaMultiply-Reductions Per Second 	549741920256.000
    2048, 128,     16384,     3.403, MegaMultiply-Reductions Per Second 	2199009361920.000
    4096, 128,     32768,     6.190, MegaMultiply-Reductions Per Second 	8796079390720.000
    8192, 128,     65536,     8.495, MegaMultiply-Reductions Per Second 	35184359505920.000
       1, 256,         4,     0.018, MegaMultiply-Reductions Per Second 	523776.000
     512, 256,      2048,     0.047, MegaMultiply-Reductions Per Second 	137438920704.000
    1024, 256,      4096,     3.346, MegaMultiply-Reductions Per Second 	549755781120.000
    2048, 256,      8192,     4.450, MegaMultiply-Reductions Per Second 	2198967681024.000
    4096, 256,     16384,     0.303, MegaMultiply-Reductions Per Second 	8796037447680.000
    8192, 256,     32768,     7.685, MegaMultiply-Reductions Per Second 	35184317562880.000
